Nombre;CUIT;NroPrestador;Sucursal;Provincia;Seccional;Partido;Localidad;Domicilio;Telefono;Clasificacion prestador;Tipo de prestador;Especialidad;Plan;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;Pediatrica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;Piso;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;Respirador;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;Terapia Intermedia;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;UTI;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;UTINeo;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;UTIP;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Cirugias;Artroscopica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Cirugias;Cabeza y Cuello;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Cirugias;Cardiaca Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Cirugias;Endoscopica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Cirugias;Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Cirugias;Laparoscopica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Cirugias;Miembro Superior y Mano;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Cirugias;Pierna y Pie;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Cirugias;Plastica Reparadora;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Cirugias;Toracica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Anatomia Patologia;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Audiometria;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Colposcopia;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Eco-Doppler;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Ecografia;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Ecografia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Electrocardiograma;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Endoscopia Digestiva;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Endoscopia Respiratoria;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Espirometria Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Holter;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Laboratorio;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Monitoreo Fetal;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Psicoprofilaxis del parto;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Radiologia;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Radiologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;DiagnosticoyTratamiento;Tomografia Computada;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Adolescencia;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Alergia e Inmunologia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Cardiologia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Clinica Medica;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Dermatologia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Diabetologia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Endocrinologia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Gastroenterologia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Genetica;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Hepatologia;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Neumonologia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Neurocirugia;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Neurologia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Nutricion Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Oftalmologia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Otorrinolaringologia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;DiagnosticoyTratamiento;Ecografia Infantil;Universal;
API ATENCION PEDIATRICA INTEGRAL;30584974563;6932;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;San Nicolas;Talcahuano 469;1132260694;Clinicas y Sanatorios;DiagnosticoyTratamiento;Radiologia Infantil;Universal;
IACA LABORATORIOS Capital Federal;30555888925;56406;1;Ciudad Autonoma de Buenos Aires;CAPITAL;Comuna 1;Retiro;Suipacha 1322 PB B;1137838229;Diagnostico y tratamiento;DiagnosticoyTratamiento;Laboratorio;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Clinica;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;General;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Ginecologica;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Obstetrica;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Oftalmologica;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Pediatrica;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Por Electrocucion;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Por envenenamiento;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Por intoxicacion;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Por mordedura de animales;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Quirurgica;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaActiva;Traumatologica;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaPasiva;Oftalmologica;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaPasiva;Quemados;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;GuardiaPasiva;Quirurgica;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Adolescencia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Alergia e Inmunologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Andrologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Cardiologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Clinica Medica;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Dermatologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Diabetologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Endocrinologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Estomatologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Flebologia y Linfologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Gastroenterologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Ginecologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Hematologia e Inmunologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Hemoterapia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Hepatologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Infectologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Micologia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Nutricion;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Obstetricia;Superador;
SANATORIO MODELO QUILMES;30571958941;1103;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Andres Baranda 282;43503800;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Oftalmologia;Superador;
